Item Name,SKU#,Stock Bought,Stock Left,Status,Last Updated From Invoice,Invoice Date,Due Date
Divider,O-DI,60,22,In stock,44640 | 44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Ice Molds,O-IM,58,29,In stock,44640 | 44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Shaker Ball,O-SB,61,13,In stock,44640 | 44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Anchor (Snack Compartment),O-AN,53,25,In stock,44640 | 44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Surge IV (Cucumber Lime),SU-EL-7,50,27,In stock,44640,"Nov 05, 2025 Thrive Wellness","Dec 05, 2025"
Surge IV (Lemonade),SU-EL-3,55,23,In stock,44640 | 44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Surge IV (Strawberry),SU-EL-5,53,19,In stock,44640 | 44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Snow Cap (Modified Lid),CA-SC,55,29,In stock,44640 | 44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Peak Powder (Chocolate),SU-PR-1,65,17,In stock,44640 | 44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Peak Powder (Vanilla),SU-PR-2,62,16,In stock,44640 | 44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Iceberg (32 oz bottle) w. Ice Cap,BO-48,50,46,In stock,44640,"Nov 05, 2025 Thrive Wellness","Dec 05, 2025"
The Glacier (40 oz bottle) w. Ice Cap,BO-38,50,50,In stock,44640,"Nov 05, 2025 Thrive Wellness","Dec 05, 2025"
Alo x Thrive Bundle,SE-F-1,50,-18,Backordered,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Fall Bundle,SE-F-3,35,-1,Backordered,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Peleton x Thrive Bundle,SE-F-2,10,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Surge IV (Blue Razzberry),SU-EL-1,7,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Surge IV (Fruit Punch),SU-EL-2,2,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Surge IV (Pina Colada),SU-EL-4,1,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
Surge IV (Tropical Vibes),SU-EL-6,1,1,Low stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Glacier (Black) w. Ice Cap,BO-41,8,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Glacier (Brown) w. Ice Cap,BO-42,6,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Glacier (Frost Blue) w. Ice Cap,BO-43,13,-2,Backordered,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Glacier (Maroon) w. Ice Cap,BO-44,9,-1,Backordered,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Glacier (Orange) w. Ice Cap,BO-45,8,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Glacier (White) w. Ice Cap,BO-46,15,-94,Backordered,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Iceberg (Black) w. Ice Cap,BO-31,2,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Iceberg (Brown) w. Ice Cap,BO-32,5,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Iceberg (Frost Blue) w. Ice Cap,BO-33,8,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Iceberg (Maroon) w. Ice Cap,BO-34,1,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Iceberg (Orange) w. Ice Cap,BO-35,1,0,Out of stock,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
The Iceberg (White) w. Ice Cap,BO-36,2,-64,Backordered,44851,"Nov 18, 2025 Thrive Wellness","Dec 18, 2025"
